,Country Name,UN Region,Amount,Total Population,Population Date,log_Population,Amount ,Population 
115,Djibouti,Africa,6093705.0,976107.0,1 Jul 2019,5.989497427259414,6.09M,976.11K
116,New Zealand,Oceania,5347952.0,5133062.0,19 Jul 2022,6.710376509944624,5.35M,5.13M
117,Argentina,Americas,5332525.29,47327407.0,18 May 2022,7.675112710754907,5.33M,47.33M
118,Japan,Asia,5087716.96,125502000.0,1 Oct 2021,8.09865064678951,5.09M,125.50M
119,Macedonia,Europe,4797365.0,1832696.0,1 Nov 2021,6.263090431971592,4.80M,1.83M
120,Sweden,Europe,4694918.0,10475203.0,30 Apr 2022,7.02016244795581,4.69M,10.48M
121,South Korea,Asia,4625349.15,51745000.0,31 Dec 2021,7.713868391282224,4.63M,51.74M
122,Chile,Americas,4570614.67,19678363.0,30 Jun 2021,7.293988967589386,4.57M,19.68M
123,Papua New Guinea,Oceania,4012571.0,9122994.0,1 Jul 2021,6.960137389237603,4.01M,9.12M
124,Western Sahara,Africa,3500000.0,612000.0,1 Jul 2021,5.786751422145561,3.50M,612.00K
125,Turkmenistan,Asia,3485038.0,6118000.0,1 Jul 2021,6.78660947264866,3.49M,6.12M
126,Malta,Europe,3302648.79,514564.0,31 Dec 2019,5.711439398764629,3.30M,514.56K
127,Belgium,Europe,2904052.0,11657619.0,1 Apr 2022,7.066609857390914,2.90M,11.66M
128,Greece,Europe,2769607.0,10603810.0,1 Jan 2022,7.025461937404057,2.77M,10.60M
129,Norway,Europe,2737863.0,5435536.0,31 Mar 2022,6.735242376456274,2.74M,5.44M
130,Algeria,Africa,2684048.99,45400000.0,1 Jan 2022,7.657055852857104,2.68M,45.40M
131,Bulgaria,Europe,2523454.53,6520314.0,7 Sep 2021,6.814268510637397,2.52M,6.52M
132,Bolivia,Americas,2481398.4,11797257.0,1 Jul 2021,7.071781040505686,2.48M,11.80M
133,Togo,Africa,2453735.32,7886000.0,1 Jul 2021,6.8968567727372045,2.45M,7.89M
134,Russia,Europe,2411955.6,147190000.0,1 Oct 2021,8.167878305298055,2.41M,147.19M
135,Singapore,Asia,2409827.71,5453600.0,30 Jun 2021,6.7366832809904,2.41M,5.45M
136,United Arab Emirates,Asia,2313736.0,9282410.0,31 Dec 2020,6.9676607471044605,2.31M,9.28M
137,Belize,Americas,2157764.5,430191.0,1 Jul 2021,5.6336613202977865,2.16M,430.19K
138,Poland,Europe,1879336.62,38014000.0,1 May 2022,7.579943570379943,1.88M,38.01M
139,Bahamas,Americas,1858912.31,393450.0,1 Jul 2021,5.594889549646035,1.86M,393.45K
140,Oman,Asia,1607658.0,4527446.0,31 Dec 2021,6.655853279076238,1.61M,4.53M
141,Lithuania,Europe,1598435.53,2794961.0,1 Jan 2022,6.44637575225716,1.60M,2.79M
142,Montenegro,Europe,1502960.92,621306.0,1 Jul 2020,5.793305547648701,1.50M,621.31K
143,Gambia,Africa,1458311.14,2487000.0,1 Jul 2021,6.395675785269936,1.46M,2.49M
144,Ireland,Europe,1388073.0,5123536.0,3 Apr 2022,6.709569792078881,1.39M,5.12M
145,Slovenia,Europe,1091443.25,2108977.0,1 Jan 2021,6.324071843453307,1.09M,2.11M
146,Finland,Europe,1083380.95,5550066.0,1 Feb 2022,6.744298147674996,1.08M,5.55M
147,Luxembourg,Europe,1063188.0,645397.0,1 Jan 2022,5.809826942340781,1.06M,645.40K
148,Maldives,Asia,1062239.96,383135.0,31 Dec 2019,5.583351827296466,1.06M,383.13K
149,Guinea-Bissau,Africa,982694.7,1646077.0,1 Jul 2021,6.216450146728591,982.69K,1.65M
150,Romania,Europe,933560.9,19186201.0,1 Jan 2021,7.28298898994807,933.56K,19.19M
151,Croatia,Europe,912315.0,3888529.0,31 Aug 2021,6.589785342198951,912.32K,3.89M
